
-----
mkdir timedrun fake

Initial Residual = 13573.6
Iteration = 15   Residual = 178.727
Iteration = 30   Residual = 1.21771
Iteration = 45   Residual = 0.00834386
Iteration = 60   Residual = 5.70757e-05
Iteration = 75   Residual = 3.89343e-07
Iteration = 90   Residual = 2.6426e-09
Iteration = 105   Residual = 1.77417e-11
Iteration = 120   Residual = 1.15261e-13
Iteration = 135   Residual = 6.18993e-16
Iteration = 149   Residual = 5.09223e-18
Mini-Application Name: hpccg
Mini-Application Version: 1.0
Parallelism: 
  MPI not enabled: 
  Number of OpenMP threads: 20
Dimensions: 
  nx: 256
  ny: 256
  nz: 1024
Number of iterations: 149
Final residual: 5.09223e-18
#********** Performance Summary (times in sec) ***********: 
Time Summary: 
  Total   : 1196.91
  DDOT    : 60.408
  WAXPBY  : 185.136
  SPARSEMV: 949.988
FLOPS Summary: 
  Total   : 6.3995e+11
  DDOT    : 3.99969e+10
  WAXPBY  : 5.99953e+10
  SPARSEMV: 5.39958e+11
MFLOPS Summary: 
  Total   : 534.669
  DDOT    : 662.112
  WAXPBY  : 324.061
  SPARSEMV: 568.384

============================ Unprocessed Statistics ============================
TIPI	JPI	Uncore1	Uncore2
0.12125	0.00000000429005	30	30
0.12113	0.00000000428242	30	30
0.12101	0.00000000450220	30	30
0.12078	0.00000000427230	30	30
0.14074	0.00000000733716	30	30
0.12126	0.00000000429841	30	30
0.12101	0.00000000430427	30	30
0.12125	0.00000000426771	30	30
0.12078	0.00000000429232	30	30
0.12094	0.00000000431390	30	30
0.12149	0.00000000430369	30	30
0.12098	0.00000000428120	30	30
0.12056	0.00000000428593	30	30
0.12088	0.00000000428253	30	30
0.12129	0.00000000425999	30	30
0.12114	0.00000000438979	30	30
0.12101	0.00000000436725	30	30
0.12071	0.00000000424560	30	30
0.14157	0.00000000731772	30	30
0.12116	0.00000000439529	30	30
0.12076	0.00000000429910	30	30
0.12145	0.00000000425447	30	30
0.12120	0.00000000427248	30	30
0.12031	0.00000000428118	30	30
0.12135	0.00000000432076	30	30
0.12071	0.00000000427986	30	30
0.12094	0.00000000430136	30	30
0.12100	0.00000000427857	30	30
0.12136	0.00000000447398	30	30
0.12156	0.00000000427497	30	30
0.12001	0.00000000426087	30	30
0.12097	0.00000000426111	30	30
0.12149	0.00000000431181	30	30
0.12061	0.00000000429722	30	30
0.12095	0.00000000438377	30	30
0.12140	0.00000000440771	30	30
0.12094	0.00000000427928	30	30
0.12079	0.00000000431683	30	30
0.12081	0.00000000429551	30	30
0.12099	0.00000000428779	30	30
0.12106	0.00000000428712	30	30
0.12105	0.00000000429554	30	30
0.12116	0.00000000427414	30	30
0.12078	0.00000000428214	30	30
0.12096	0.00000000436166	30	30
